New York, N.Y.,8175133,8143197,8008278,7322564,685714,9.4,1,1,1,1
Los Angeles, Calif.,3792621,3844829,3694820,3485398,209422,6.0,2,2,2,2
Chicago, Ill.,2695598,2842518,2896016,2783726,112290,4.0,3,3,3,3
Houston, Tex.,2099451,2016582,1953631,1630553,323078,19.8,4,4,4,4
Philadelphia, Pa.,1526006,1463281,1517550,1585577,–68027,–4.3,5,5,5,5
Phoenix, Ariz.,1445632,1461575,1321045,983403,337642,34.3,10,6,6,6
San Antonio, Tex.,1327407,1256509,1144646,935933,208713,22.3,9,9,7,7
San Diego, Calif.,1307402,1255540,1223400,1110549,112851,10.2,6,7,8,8
Dallas, Tex.,1197816,1213825,1188580,1006877,181703,18.0,8,8,9,9
San Jose, Calif.,945942,912332,894943,782248,112695,14.4,11,11,10,10
Jacksonville, Fla.,821784,782623,735617,635230,100387,15.8,15,14,13,11
Indianapolis, Ind.,820445,784118,781870,741952,49974,6.7,13,12,12,12
San Francisco, Calif.,805235,739426,776733,723959,52774,7.3,14,13,14,13
Austin, Tex.,790390,690252,656562,465622,190940,41.0,25,16,16,14
Columbus, Ohio,787033,730657,711470,632910,78560,12.4,16,15,15,15
Fort Worth, Tex.,741206,624067,534694,447619,87075,19.5,29,27,19,16
Charlotte, N.C.,731424,610949,540828,395934,144894,36.6,33,26,20,17
Detroit, Mich.,717777,886671,951270,1027974,–76704,–7.5,7,10,11,18
El Paso, Tex.,649121,598590,563662,515342,48320,9.4,22,23,21,19
Memphis, Tenn.,646889,672277,650100,610337,39763,6.5,18,18,17,20
Baltimore, Md.,620961,635815,651154,736014,–84860,–11.5,12,17,18,21
Boston, Mass.,617594,559034,589141,574283,14858,2.6,20,20,24,22
Seattle, Wash.,608660,573911,563374,516259,47115,9.1,21,24,23,23
Washington, DC,601723,550521,572059,606900,–34841,–5.7,19,21,27,24
Nashville-Davidson, Tenn.1,601222,549110,545524,510784,59107,11.6,26,22,28,25
Denver, Colo.,600158,557917,554636,467610,87026,18.6,28,25,25,26
Louisville-Jefferson County, Ky.2,597337,556429,256231,269063,12832,–4.8,58,67,26,27
Milwaukee, Wis.,594833,578887,596974,628088,–31114,–5.0,17,19,22,28
Portland, Ore.,583776,533427,529121,437319,91802,21.0,27,28,30,29
Las Vegas, Nev.,583756,545147,478434,258295,220139,85.2,63,32,29,30
Oklahoma City, Okla.,579999,531324,506132,444719,61413,13.8,30,29,31,31
Albuquerque, N.M.,545852,494236,448607,384736,63871,16.6,40,35,33,32
Tucson, Ariz.,520116,515526,486699,405390,81309,20.1,34,30,32,33
Fresno, Calif.,494665,461116,427652,354202,73450,20.7,48,37,36,34
Sacramento, Calif.,466488,456441,407018,369365,37653,10.2,37,40,37,35
Long Beach, Calif.,462257,474014,461522,429433,32089,7.5,32,34,34,36
Kansas City, Mo.,459787,444965,441545,435146,6399,1.5,31,36,40,37
Mesa, Ariz.,439041,442780,396375,288091,108284,37.6,53,42,41,38
Virginia Beach, Va.,437994,438415,425257,393069,32188,8.2,39,38,42,39
Atlanta, Ga.,420003,470688,416474,394017,22457,5.7,38,39,35,40
Colorado Springs, Colo.,416427,369815,360890,281140,79750,28.4,54,48,49,41
Omaha, Nebr.,408958,414521,390007,335795,54212,16.1,47,44,43,42
Raleigh, N.C.,403892,–,–,–,–,–,–,–,–,43
Miami, Fla.,399457,386417,362470,358548,3922,1.1,46,47,45,44
Cleveland, Ohio,396815,452208,478403,505616,–27213,–5.4,23,33,39,45
Tulsa, Okla.,391906,382457,393049,367302,25747,7.0,44,43,46,46
Oakland, Calif.,390724,395274,399484,372242,27242,7.3,35,41,44,47
Minneapolis, Minn.,382578,372811,382618,368383,14235,3.9,43,45,48,48
Wichita, Kans.,375571,353823,344284,–,–,–,–,50,51,49
Arlington, Tex.,365438,362805,332969,261721,71248,27.2,62,54,50,50
